group_id,should_run,status,vae_name,vae_config,vae_type,latent_kind,sit_scale,sit_model,ifid_exp_name,exp_path,args_json,ckpt_step,ckpt_file,expected_ifid,expected_gfid_wo_cfg,expected_gfid_w_cfg,cfg_modes,hf_or_local_source,imagenet_train_dir,imagenet_val_dir,label_map_json,fid_reference_file,load_policy,load_check,inference_check,rfid_check,ifid_check,gfid_check,garfid_check,pcc_srcc_check,notes
invae_b,yes,todo,IN-VAE,./configs/INVAE.yaml,mse,/1,SiT-B,SiT-B/1,sit-b-invae-400k,assets/stage2_assets/sit-b-invae-400k,args.json,400000,,41.06,49.17,,nocfg|cfg,,${IMAGENET_TRAIN},${IMAGENET_VAL},src/scripts/imagenet_val_dir_to_index.json,assets/VIRTUAL_imagenet256_labeled.npz,strict_false_allow_known,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,['1-like latent']
invae_xl,yes,todo,IN-VAE,./configs/INVAE.yaml,mse,/1,SiT-XL,SiT-XL/1,sit-xl-invae-400k,assets/stage2_assets/sit-xl-invae-400k,args.json,400000,,41.06,25.65,,nocfg|cfg,,${IMAGENET_TRAIN},${IMAGENET_VAL},src/scripts/imagenet_val_dir_to_index.json,assets/VIRTUAL_imagenet256_labeled.npz,strict_false_allow_known,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,['1-like latent']
vavae_b,yes,todo,VA-VAE,./configs/VAVAE.yaml,mse,/1,SiT-B,SiT-B/1,sit-b-vavae-400k,assets/stage2_assets/sit-b-vavae-400k,args.json,400000,,19.57,17.63,,nocfg|cfg,,${IMAGENET_TRAIN},${IMAGENET_VAL},src/scripts/imagenet_val_dir_to_index.json,assets/VIRTUAL_imagenet256_labeled.npz,strict_false_allow_known,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,['1-like latent']
vavae_xl,yes,todo,VA-VAE,./configs/VAVAE.yaml,mse,/1,SiT-XL,SiT-XL/1,sit-xl-vavae-400k,assets/stage2_assets/sit-xl-vavae-400k,args.json,400000,,19.57,8.57,,nocfg|cfg,,${IMAGENET_TRAIN},${IMAGENET_VAL},src/scripts/imagenet_val_dir_to_index.json,assets/VIRTUAL_imagenet256_labeled.npz,strict_false_allow_known,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,['1-like latent']
vavae64_b,yes,todo,VA-VAE-c64,./configs/VAVAE64.yaml,mse,/1,SiT-B,SiT-B/1,sit-b-vavae64-400k,assets/stage2_assets/sit-b-vavae64-400k,args.json,400000,,37.14,32.51,,nocfg|cfg,,${IMAGENET_TRAIN},${IMAGENET_VAL},src/scripts/imagenet_val_dir_to_index.json,assets/VIRTUAL_imagenet256_labeled.npz,strict_false_allow_known,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,['1-like latent']
vavae64_xl,yes,todo,VA-VAE-c64,./configs/VAVAE64.yaml,mse,/1,SiT-XL,SiT-XL/1,sit-xl-vavae64-400k,assets/stage2_assets/sit-xl-vavae64-400k,args.json,400000,,37.14,15.40,,nocfg|cfg,,${IMAGENET_TRAIN},${IMAGENET_VAL},src/scripts/imagenet_val_dir_to_index.json,assets/VIRTUAL_imagenet256_labeled.npz,strict_false_allow_known,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,['1-like latent']
softvq_b,yes,todo,SOFT-VQ,./configs/SOFTVQ.yaml,softvq,/1D,SiT-B,SiT-B/1D,sit-b-softvq-400k,assets/stage2_assets/sit-b-softvq-400k,args.json,400000,,26.91,29.11,,nocfg|cfg,,${IMAGENET_TRAIN},${IMAGENET_VAL},src/scripts/imagenet_val_dir_to_index.json,assets/VIRTUAL_imagenet256_labeled.npz,strict_false_allow_known,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,['1D latent']
softvq_xl,yes,todo,SOFT-VQ,./configs/SOFTVQ.yaml,softvq,/1D,SiT-XL,SiT-XL/1D,sit-xl-softvq-400k,assets/stage2_assets/sit-xl-softvq-400k,args.json,400000,,26.91,15.88,,nocfg|cfg,,${IMAGENET_TRAIN},${IMAGENET_VAL},src/scripts/imagenet_val_dir_to_index.json,assets/VIRTUAL_imagenet256_labeled.npz,strict_false_allow_known,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,['1D latent']
maetok_b,yes,todo,MAE-TOK,./configs/MAETOK.yaml,maetok,/1D,SiT-B,SiT-B/1D,sit-b-maetok-400k,assets/stage2_assets/sit-b-maetok-400k,args.json,400000,,14.06,13.73,,nocfg|cfg,,${IMAGENET_TRAIN},${IMAGENET_VAL},src/scripts/imagenet_val_dir_to_index.json,assets/VIRTUAL_imagenet256_labeled.npz,strict_false_allow_known,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,['1D latent']
maetok_xl,yes,todo,MAE-TOK,./configs/MAETOK.yaml,maetok,/1D,SiT-XL,SiT-XL/1D,sit-xl-maetok-400k,assets/stage2_assets/sit-xl-maetok-400k,args.json,400000,,14.06,6.27,,nocfg|cfg,,${IMAGENET_TRAIN},${IMAGENET_VAL},src/scripts/imagenet_val_dir_to_index.json,assets/VIRTUAL_imagenet256_labeled.npz,strict_false_allow_known,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,['1D latent']
detok_b,yes,todo,DE-TOK,./configs/DETOK.yaml,detok,/1D,SiT-B,SiT-B/1D,sit-b-detok-400k,assets/stage2_assets/sit-b-detok-400k,args.json,400000,,17.51,20.27,,nocfg,${IFID_ROOT},${IMAGENET_TRAIN},${IMAGENET_VAL},src/scripts/imagenet_val_dir_to_index.json,assets/VIRTUAL_imagenet256_labeled.npz,strict_false_allow_known,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,local asset; no cfg for current stage
detok_xl,yes,todo,DE-TOK,./configs/DETOK.yaml,detok,/1D,SiT-XL,SiT-XL/1D,sit-xl-detok-400k,assets/stage2_assets/sit-xl-detok-400k,args.json,400000,,17.51,11.97,,nocfg|cfg,,${IMAGENET_TRAIN},${IMAGENET_VAL},src/scripts/imagenet_val_dir_to_index.json,assets/VIRTUAL_imagenet256_labeled.npz,strict_false_allow_known,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,['1D latent']
dmvae_b,yes,todo,DM-VAE,./configs/DMVAE.yaml,dmvae,/1D,SiT-B,SiT-B/1D,sit-b-dmvae-400k,assets/stage2_assets/sit-b-dmvae-400k,args.json,400000,,8.14,8.69,,nocfg|cfg,,${IMAGENET_TRAIN},${IMAGENET_VAL},src/scripts/imagenet_val_dir_to_index.json,assets/VIRTUAL_imagenet256_labeled.npz,strict_false_allow_known,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,['1D latent']
dmvae_xl,yes,todo,DM-VAE,./configs/DMVAE.yaml,dmvae,/1D,SiT-XL,SiT-XL/1D,sit-xl-dmvae-400k,assets/stage2_assets/sit-xl-dmvae-400k,args.json,400000,,8.14,4.65,,nocfg|cfg,,${IMAGENET_TRAIN},${IMAGENET_VAL},src/scripts/imagenet_val_dir_to_index.json,assets/VIRTUAL_imagenet256_labeled.npz,strict_false_allow_known,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,['1D latent']
repaevae_b,yes,todo,REPAE-VAE,./configs/REPAEVAE.yaml,mse,/2,SiT-B,SiT-B/2,sit-b-repaevae-400k,assets/stage2_assets/sit-b-repaevae-400k,args.json,400000,,36.70,26.06,,nocfg|cfg,,${IMAGENET_TRAIN},${IMAGENET_VAL},src/scripts/imagenet_val_dir_to_index.json,assets/VIRTUAL_imagenet256_labeled.npz,strict_false_allow_known,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,['may carry REPA-specific extra keys']
repaevae_xl,yes,todo,REPAE-VAE,./configs/REPAEVAE.yaml,mse,/2,SiT-XL,SiT-XL/2,sit-xl-repaevae-400k,assets/stage2_assets/sit-xl-repaevae-400k,args.json,400000,,36.70,12.95,,nocfg|cfg,,${IMAGENET_TRAIN},${IMAGENET_VAL},src/scripts/imagenet_val_dir_to_index.json,assets/VIRTUAL_imagenet256_labeled.npz,strict_false_allow_known,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,['may carry REPA-specific extra keys']
rae_b,no,todo,RAE,./configs/RAE.yaml,rae,/1,SiT-B,SiT-B/1,sit-b-rae-400k,assets/stage2_assets/sit-b-rae-400k,args.json,400000,,7.68,,,nocfg|cfg,,${IMAGENET_TRAIN},${IMAGENET_VAL},src/scripts/imagenet_val_dir_to_index.json,assets/VIRTUAL_imagenet256_labeled.npz,strict_false_allow_known,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,['README notes RAE not evaluated on SiT-B in paper']
rae_xl,yes,todo,RAE,./configs/RAE.yaml,rae,/1,SiT-XL,SiT-XL/1,sit-xl-rae-400k,assets/stage2_assets/sit-xl-rae-400k,args.json,400000,,7.68,4.25,,nocfg|cfg,,${IMAGENET_TRAIN},${IMAGENET_VAL},src/scripts/imagenet_val_dir_to_index.json,assets/VIRTUAL_imagenet256_labeled.npz,strict_false_allow_known,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,['needs local RAE config fix and asset check']
